pID,conditions,ts,block,round,hitTarget
3,"Environment: 2, FiringMode: 1",54.80307,1,1,true
3,"Environment: 2, FiringMode: 1",56.73328,1,1,true
3,"Environment: 2, FiringMode: 1",58.60789,1,1,true
3,"Environment: 2, FiringMode: 1",60.38668,1,1,true
3,"Environment: 2, FiringMode: 1",62.37277,1,1,true
3,"Environment: 2, FiringMode: 1",63.76295,1,1,true
3,"Environment: 2, FiringMode: 1",65.26297,1,1,true
3,"Environment: 2, FiringMode: 1",66.61047,1,1,true
3,"Environment: 2, FiringMode: 1",68.19413,1,1,true
3,"Environment: 2, FiringMode: 1",69.54084,1,1,false
3,"Environment: 2, FiringMode: 1",71.11076,1,1,true
3,"Environment: 2, FiringMode: 1",72.56907,1,1,true
