pID,conditions,ts,headsetDetected,headsetPosX,headsetPosY,headsetPosZ,headsetRot,leftDetected,leftControllerPosX,leftControllerPosY,leftControllerPosZ,leftControllerRot,leftTrigger,leftGrip,leftPrimaryButton,leftSecondaryButton,leftPrimary2DAxisClick,leftThumbstickX,leftThumbstickY,rightDetected,rightControllerPosX,rightControllerPosY,rightControllerPosZ,rightControllerRot,rightTrigger,rightGrip,rightPrimaryButton,rightSecondaryButton,rightPrimary2DAxisClick,rightThumbstickX,rightThumbstickY
3,"Environment: 2, FiringMode: 1",5.035033,true,-1.509413,2.325089,0.9455591,"(-0.0216,-0.9957,0.0725,0.0529)",true,-1.433608,2.023885,0.6160078,"(-0.0787,-0.9887,-0.1211,0.0406)",0,0,0,0,0,0,0,true,-1.788602,2.02485,0.7025001,"(0.0345,-0.9733,-0.1186,0.1935)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.058636,true,-1.509558,2.325023,0.9453962,"(-0.0210,-0.9957,0.0723,0.0532)",true,-1.433655,2.023893,0.6160393,"(-0.0787,-0.9887,-0.1211,0.0406)",0,0,0,0,0,0,0,true,-1.788632,2.024833,0.7024428,"(0.0346,-0.9733,-0.1186,0.1934)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.086535,true,-1.50975,2.324886,0.9452651,"(-0.0206,-0.9957,0.0729,0.0537)",true,-1.433661,2.02387,0.6160141,"(-0.0788,-0.9887,-0.1211,0.0405)",0,0,0,0,0,0,0,true,-1.788578,2.024885,0.7024266,"(0.0347,-0.9733,-0.1186,0.1933)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.114209,true,-1.510083,2.32469,0.9448125,"(-0.0205,-0.9956,0.0736,0.0542)",true,-1.433629,2.02388,0.6160649,"(-0.0790,-0.9887,-0.1212,0.0404)",0,0,0,0,0,0,0,true,-1.788566,2.024893,0.7024237,"(0.0348,-0.9733,-0.1187,0.1931)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.142731,true,-1.510354,2.324547,0.9446914,"(-0.0201,-0.9955,0.0745,0.0552)",true,-1.433639,2.023869,0.6160827,"(-0.0791,-0.9887,-0.1211,0.0405)",0,0,0,0,0,0,0,true,-1.788519,2.024915,0.7024071,"(0.0349,-0.9734,-0.1187,0.1930)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.171111,true,-1.510651,2.324399,0.9445561,"(-0.0203,-0.9954,0.0754,0.0563)",true,-1.433669,2.023844,0.6160617,"(-0.0789,-0.9887,-0.1210,0.0405)",0,0,0,0,0,0,0,true,-1.788446,2.02495,0.7023903,"(0.0349,-0.9734,-0.1188,0.1928)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.199134,true,-1.511013,2.324345,0.9442745,"(-0.0197,-0.9954,0.0748,0.0572)",true,-1.433648,2.023865,0.6161196,"(-0.0790,-0.9887,-0.1211,0.0402)",0,0,0,0,0,0,0,true,-1.78848,2.024941,0.7024008,"(0.0350,-0.9734,-0.1191,0.1927)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.227311,true,-1.511286,2.324214,0.9440977,"(-0.0189,-0.9952,0.0760,0.0581)",true,-1.433672,2.023833,0.6160858,"(-0.0789,-0.9887,-0.1210,0.0403)",0,0,0,0,0,0,0,true,-1.788431,2.025006,0.7024215,"(0.0352,-0.9733,-0.1193,0.1927)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.255425,true,-1.51155,2.323948,0.9440456,"(-0.0185,-0.9951,0.0771,0.0587)",true,-1.433689,2.023841,0.6160841,"(-0.0790,-0.9887,-0.1209,0.0403)",0,0,0,0,0,0,0,true,-1.788563,2.024978,0.7024585,"(0.0355,-0.9733,-0.1194,0.1929)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.283337,true,-1.51174,2.323749,0.9439648,"(-0.0179,-0.9951,0.0775,0.0590)",true,-1.433696,2.023825,0.6160507,"(-0.0790,-0.9887,-0.1208,0.0403)",0,0,0,0,0,0,0,true,-1.788556,2.024991,0.702473,"(0.0356,-0.9733,-0.1194,0.1929)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.311608,true,-1.511904,2.323586,0.9435316,"(-0.0176,-0.9951,0.0776,0.0588)",true,-1.433677,2.023836,0.6161097,"(-0.0790,-0.9887,-0.1208,0.0401)",0,0,0,0,0,0,0,true,-1.78854,2.024991,0.702508,"(0.0355,-0.9733,-0.1193,0.1928)",0,0,0,0,0,0,0
3,"Environment: 2, FiringMode: 1",5.339174,true,-1.511913,2.323411,0.9433338,"(-0.0171,-0.9951,0.0784,0.0578)",true,-1.433694,2.023849,0.6161957,"(-0.0788,-0.9887,-0.1208,0.0400)",0,0,0,0,0,0,0,true,-1.788541,2.024976,0.7025407,"(0.0355,-0.9734,-0.1192,0.1926)",0,0,0,0,0,0,0
